,year,state,special,candidateCount,totalVotes,winnerName,winnerParty,winnerVotes,winnerPct,winnerVAll,secondPlaceName,SecondPlaceParty,secondPlaceVotes,secondPlacePct,winnerVSecond,incumbentWinner,incumbentSecond
788,2004,WISCONSIN,FALSE,5,2949743,RUSSEL D. FEINGOLD,DEMOCRAT,1632697,0.553504831,10.70096615,TIM MICHELS,REPUBLICAN,1301183,0.441117413,11.23874182,FALSE,FALSE
789,2006,WISCONSIN,FALSE,5,2138297,HERB KOHL,DEMOCRAT,1439214,0.673065528,34.61310566,ROBERT GERALD LORGE,REPUBLICAN,630299,0.294766817,37.82987115,TRUE,FALSE
790,2010,WISCONSIN,FALSE,6,2171331,RON JOHNSON,REPUBLICAN,1125999,0.518575473,3.715094566,RUSSELL D. FEINGOLD,DEMOCRAT,1020958,0.470199154,4.837631849,FALSE,FALSE
791,2012,WISCONSIN,FALSE,7,3009411,TAMMY BALDWIN,DEMOCRAT,1547104,0.514088637,2.817727456,TOMMY G. THOMPSON,REPUBLICAN,1380126,0.458603361,5.548527602,FALSE,FALSE
792,2016,WISCONSIN,FALSE,5,2948741,RON JOHNSON,REPUBLICAN,1479471,0.501729721,0.345944252,RUSS FEINGOLD,DEMOCRAT,1380335,0.468109949,3.361977196,TRUE,FALSE
793,2018,WISCONSIN,FALSE,3,2657841,TAMMY BALDWIN,DEMOCRAT,1472914,0.554176868,10.83537352,LEAH VUKMIR,REPUBLICAN,1184885,0.44580733,10.83695375,TRUE,FALSE
794,1976,WYOMING,FALSE,2,155368,MALCOLM WALLOP,REPUBLICAN,84810,0.5458653,9.17306009,GALE MCGEE,DEMOCRAT,70558,0.4541347,9.17306009,FALSE,FALSE
795,1978,WYOMING,FALSE,2,133364,RAYMOND B. WHITAKER,DEMOCRAT,82908,0.621667017,24.33340332,ALAN KOOI SIMPSON,REPUBLICAN,50456,0.378332983,24.33340332,FALSE,FALSE
796,1982,WYOMING,FALSE,2,167191,MALCOLM WALLOP,REPUBLICAN,94725,0.566567578,13.31351568,RODGER MCDANIEL,DEMOCRAT,72466,0.433432422,13.31351568,TRUE,FALSE
797,1984,WYOMING,FALSE,2,186898,AL SIMPSON,REPUBLICAN,146373,0.783170499,56.63409988,VICTOR A. RYAN,DEMOCRAT,40525,0.216829501,56.63409988,FALSE,FALSE
798,1988,WYOMING,FALSE,2,180964,MALCOLM WALLOP,REPUBLICAN,91143,0.50365266,0.73053204,JOHN P. VINICH,DEMOCRAT,89821,0.49634734,0.73053204,TRUE,FALSE
799,1990,WYOMING,FALSE,2,157632,ALAN K. SIMPSON,REPUBLICAN,100784,0.639362566,27.8725132,KATHY HELLING,DEMOCRAT,56848,0.360637434,27.8725132,FALSE,FALSE
800,1994,WYOMING,FALSE,3,201710,CRAIG THOMAS,REPUBLICAN,118754,0.588736305,17.74726092,MIKE SULLIVAN,DEMOCRAT,79287,0.393074215,19.56620891,FALSE,FALSE
801,1996,WYOMING,FALSE,4,211077,MICHAEL B. ENZI,REPUBLICAN,114116,0.540636829,8.127365843,KATHY KARPAN,DEMOCRAT,89103,0.42213505,11.8501779,FALSE,FALSE
802,2000,WYOMING,FALSE,3,213659,CRAIG THOMAS,REPUBLICAN,157622,0.737726939,47.54538774,MEL LOGAN,DEMOCRAT,47087,0.220383883,51.7343056,TRUE,FALSE
803,2002,WYOMING,FALSE,2,183280,MICHAEL B. ENZI,REPUBLICAN,133710,0.729539502,45.90790048,JOYCE JANSA CORCORAN,DEMOCRAT,49570,0.270460498,45.90790048,TRUE,FALSE
804,2006,WYOMING,FALSE,5,196215,CRAIG THOMAS,REPUBLICAN,135174,0.688907576,37.78151517,DALE GROUTAGE,DEMOCRAT,57671,0.293917387,39.49901893,TRUE,FALSE
805,2008,WYOMING,FALSE,4,250007,MICHAEL B. ENZI,REPUBLICAN,189046,0.756162827,51.23256549,CHRIS ROTHFUSS,DEMOCRAT,60631,0.24251721,51.36456179,TRUE,FALSE
806,2008,WYOMING,TRUE,4,249619,JOHN BARRASSO,REPUBLICAN,183063,0.733369655,46.67393107,NICK CARTER,DEMOCRAT,66202,0.265212183,46.8157472,FALSE,FALSE
807,2012,WYOMING,FALSE,6,250700,JOHN BARRASSO,REPUBLICAN,185250,0.738930993,47.78619864,TIM CHESNUT,DEMOCRAT,53019,0.211483845,52.7447148,TRUE,FALSE
808,2014,WYOMING,FALSE,7,171153,MICHAEL B. ENZI,REPUBLICAN,121554,0.710206657,42.04133144,CHARLIE HARDY,DEMOCRAT,29377,0.171641747,53.85649098,TRUE,FALSE
809,2018,WYOMING,FALSE,4,203420,JOHN BARRASSO,REPUBLICAN,136210,0.669599843,33.91996854,GARY TRAUNER,DEMOCRAT,61227,0.300988103,36.86117393,TRUE,FALSE
810,2020,WYOMING,FALSE,5,278503,CYNTHIA M. LUMMIS,OTHER,198100,0.71130293,42.26058606,MERAV BEN DAVID,OTHER,72766,0.261275462,45.00274683,FALSE,FALSE
